YOD	  24.490	1.000	P	 147.540	299.97	YN	BHZ	Pg
YOD	  42.470	0.500	S	 147.540	299.97	YN	BHN	Sg
MEL	  24.790	1.000	P	 149.609	219.46	YN	BHZ	Pg
MEL	  44.270	0.500	S	 149.609	219.46	YN	BHN	Sg
YUJ	  25.700	1.000	P	 151.783	 81.79	YN	BHZ	Pg
JIH	  25.400	1.000	P	 152.968	170.92	YN	BHZ	Pg
JIH	  42.910	0.500	S	 152.968	170.92	YN	BHN	Sg
#	2014	10	7	22	4	 9.200	 23.350	100.500	 6.0	3.7	0	0	0	1421440	ÔÆÄÏ¾°¹È
JIG	   4.420	1.000	P	  29.337	 54.80	YN	BHZ	Pg
JIG	   8.510	0.500	S	  29.337	 54.80	YN	BHE	Sg
SIM	  15.290	1.000	P	  82.733	140.43	YN	BHZ	Pg
SIM	  25.040	0.500	S	  82.733	140.43	YN	BHE	Sg
LAC	  19.250	1.000	P	 106.702	213.89	YN	BHZ	Pg
LAC	  30.480	0.500	S	 106.702	213.89	YN	BHN	Sg
YUX	  20.510	1.000	P	 125.835	343.52	YN	BHZ	Pg
YUX	  36.920	0.500	S	 125.835	343.52	YN	BHE	Sg
CAY	  21.480	1.000	P	 129.048	259.64	YN	BHZ	Pg
CAY	  36.370	0.500	S	 129.048	259.64	YN	BHE	Sg
MEL	  24.590	1.000	P	 146.955	220.11	YN	BHZ	Pg
MEL	  42.820	0.500	S	 146.955	220.11	YN	BHN	Sg
YOD	  24.730	1.000	P	 148.769	301.08	YN	BHZ	Pg
YOD	  43.420	0.500	S	 148.769	301.08	YN	BHN	Sg
JIH	  24.690	1.000	P	 149.960	170.58	YN	BHZ	Pg
#	2014	10	7	22	6	48.000	 23.396	100.501	 5.0	3.3	0	0	0	1421442	ÔÆÄÏ¾°¹È
JIG	   4.320	1.000	P	  26.626	 63.71	YN	BHZ	Pg
JIG	   8.170	0.500	S	  26.626	 63.71	YN	BHN	Sg
SIM	  24.820	0.500	S	  86.675	142.64	YN	BHN	Sg
ZHY	  15.420	1.000	P	  91.090	 42.50	YN	BHZ	Pg
ZHY	  27.580	0.500	S	  91.090	 42.50	YN	BHE	Sg
LAC	  31.890	0.500	S	 111.039	212.47	YN	BHE	Sg
YUX	  20.250	1.000	P	 120.969	342.79	YN	BHZ	Pg
